,age,balance,duration,campaign,previous,marital_married,marital_single,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,education_secondary,education_tertiary,default_yes,housing_yes,loan_yes
0,58,2143,261,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,44,29,151,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2,33,2,76,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
3,47,1506,92,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5,35,231,139,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
6,28,447,217,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
7,42,2,380,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
8,58,121,50,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9,43,593,55,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
10,41,270,222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11,29,390,137,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12,53,6,517,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
13,58,71,71,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
14,57,162,174,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
15,51,229,353,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16,45,13,98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
17,57,52,38,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,60,60,219,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19,33,0,54,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
20,28,723,262,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
21,56,779,164,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
22,32,23,160,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23,25,50,342,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
24,40,0,181,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
25,44,-372,172,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26,39,255,296,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
27,52,113,127,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
28,46,-246,255,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
29,36,265,348,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
30,57,839,225,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
31,49,378,230,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
32,60,39,208,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
33,59,0,226,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
34,51,10635,336,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
35,57,63,242,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
36,25,-7,365,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37,53,-3,1666,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
38,36,506,577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39,37,0,137,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,44,2586,160,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
41,50,49,180,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
42,60,104,22,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
43,54,529,1492,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
44,58,96,616,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
45,36,-171,242,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,58,-364,355,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
47,44,0,225,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
48,55,0,160,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49,29,0,363,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
50,54,1291,266,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
51,48,-244,253,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
52,32,0,179,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
53,42,-76,787,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
54,24,-103,145,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
55,38,243,174,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
56,38,424,104,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
57,47,306,13,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
58,40,24,185,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
59,46,179,1778,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
60,32,0,138,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
61,53,989,812,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
62,57,249,164,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,33,790,391,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
64,49,154,357,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
65,51,6530,91,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
66,60,100,528,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
67,59,59,273,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
68,55,1205,158,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
69,35,12223,177,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
70,57,5935,258,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
71,31,25,172,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
72,54,282,154,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
73,55,23,291,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,43,1937,181,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
75,53,384,176,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
76,44,582,211,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
77,55,91,349,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
78,49,0,272,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
79,55,1,208,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
80,45,206,193,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
81,47,164,212,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
82,42,690,20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
83,59,2343,1042,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
84,46,137,246,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
85,51,173,529,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86,56,45,1467,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,41,1270,1389,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
88,46,16,188,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
89,57,486,180,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
90,42,50,48,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91,30,152,213,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
92,60,290,583,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
93,60,54,221,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
94,57,-37,173,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
95,36,101,426,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
96,55,383,287,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,60,81,101,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
98,39,0,203,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
99,46,229,197,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
100,44,-674,257,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
